Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Parameters_M,Model_Size_MB,Latency_ms_per_image,Inference_Power_Watts,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg,Epochs_configured,Epochs_trained,Num_classes,Train_images,Validation_images,Test_images
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036,0.096731,1.1585302352905273,4.3516269364403115,5.0,21.758134682201558,6.043926300611544e-05,2.5384490462568484e-05,8,4,27,1968,348,236
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453,0.954699,4.3153533935546875,8.93687498305081,5.0,44.684374915254054,0.00012412326365348348,5.213177073446306e-05,8,8,27,1968,348,236
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474,4.084158,16.660840034484863,14.27138183898345,5.0,71.35690919491725,0.0001982136366525479,8.324972739407012e-05,8,8,27,1968,348,236
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034,23.643035,91.25373935699463,12.602596042372278,5.0,63.01298021186138,0.0001750360561440594,7.351514358050494e-05,8,8,27,1968,348,236
TrashNet,Custom CNN,0.39210526315789473,0.2311745251047733,0.3322905443538043,0.2600329294916957,0.094022,1.1275272369384766,2.729560221875005,5.0,13.647801109375024,3.791055863715285e-05,1.5922434627604195e-05,8,8,6,1768,379,380
TrashNet,MobileNetV3,0.5763157894736842,0.5341219892970314,0.5144819854603565,0.502493528956316,0.942582,4.176684379577637,2.799674787500095,5.0,13.998373937500475,3.888437204861243e-05,1.633143626041722e-05,8,8,6,1768,379,380
TrashNet,EfficientNet-B0,0.7868421052631579,0.7758439159405343,0.7275816589358192,0.7418292520451372,4.057257,16.352981567382812,3.857307140624755,5.0,19.286535703123775,5.357371028645493e-05,2.2500958320311068e-05,8,8,6,1768,379,380
TrashNet,ResNet-50,0.7631578947368421,0.7443477578689676,0.7320667285471271,0.7352435657017665,23.600006,90.76131057739258,4.377870787499205,5.0,21.889353937496026,6.080376093748896e-05,2.553757959374536e-05,8,8,6,1768,379,380
