Dataset,Rank,Model,Accuracy,F1_macro,Latency_ms_per_image,Model_Size_MB,Energy_per_image_mJ,Final_Sustainability_Score
PlantDoc,1,ResNet-50,0.3389830508474576,0.28944442314175034,12.602596042372278,91.25373935699463,63.01298021186138,0.5588799859020882
PlantDoc,2,MobileNetV3,0.16101694915254236,0.10974608073963453,8.93687498305081,4.3153533935546875,44.684374915254054,0.5213947277208538
PlantDoc,3,Custom CNN,0.05084745762711865,0.0035842293906810036,4.3516269364403115,1.1585302352905273,21.758134682201558,0.5
PlantDoc,4,EfficientNet-B0,0.2754237288135593,0.20539941122080474,14.27138183898345,16.660840034484863,71.35690919491725,0.49554121226664566
TrashNet,1,EfficientNet-B0,0.7868421052631579,0.7418292520451372,3.857307140624755,16.352981567382812,19.286535703123775,0.7350563343701503
TrashNet,2,MobileNetV3,0.5763157894736842,0.502493528956316,2.799674787500095,4.176684379577637,13.998373937500475,0.722486680210002
TrashNet,3,Custom CNN,0.39210526315789473,0.2600329294916957,2.729560221875005,1.1275272369384766,13.647801109375024,0.5
TrashNet,4,ResNet-50,0.7631578947368421,0.7352435657017665,4.377870787499205,90.76131057739258,21.889353937496026,0.4815827435603558
