Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Parameters_M,Model_Size_MB,Latency_ms_per_image,Inference_Power_Watts,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg,Epochs_configured,Epochs_trained,Num_classes,Train_images,Validation_images,Test_images
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036,0.096731,1.1585302352905273,26.50971315677961,5.0,132.54856578389806,0.00036819046051082794,0.00015463999341454773,8,4,27,1968,348,236
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453,0.954699,4.3153533935546875,17.291360898304823,5.0,86.45680449152412,0.00024015779025423367,0.00010086627190677813,8,8,27,1968,348,236
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474,4.084158,16.660840034484863,56.514131152541374,5.0,282.5706557627069,0.0007849184882297414,0.00032966576505649134,8,8,27,1968,348,236
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034,23.643035,91.25373935699463,113.40852461863906,5.0,567.0426230931953,0.001575118397481098,0.0006615497269420611,8,8,27,1968,348,236
TrashNet,Custom CNN,0.4026315789473684,0.2533231248489331,0.3323089289073589,0.2664951939332464,0.094022,1.1275272369384766,18.7452951812503,5.0,93.7264759062515,0.0002603513219618097,0.00010934755522396008,8,7,6,1768,379,380
TrashNet,MobileNetV3,0.5789473684210527,0.5353643291169504,0.5173488521409776,0.5040236803155383,0.942582,4.176684379577637,8.97935297187189,5.0,44.89676485935945,0.00012471323572044293,5.237955900258603e-05,8,8,6,1768,379,380
TrashNet,EfficientNet-B0,0.7921052631578948,0.8143170980540672,0.7329580030218407,0.7523085271812205,4.057257,16.352981567382812,38.24937702500222,5.0,191.2468851250111,0.0005312413475694753,0.0002231213659791796,8,8,6,1768,379,380
TrashNet,ResNet-50,0.7631578947368421,0.7455778385783467,0.7264671776740688,0.7340100592975528,23.600006,90.76131057739258,91.33422942187792,5.0,456.6711471093896,0.0012685309641927488,0.0005327830049609545,8,8,6,1768,379,380
