Dataset,Model,Accuracy,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg
PlantDoc,MobileNetV3,0.16101694915254236,86.45680449152412,0.00024015779025423367,0.00010086627190677813
PlantDoc,Custom CNN,0.05084745762711865,132.54856578389806,0.00036819046051082794,0.00015463999341454773
PlantDoc,EfficientNet-B0,0.2754237288135593,282.5706557627069,0.0007849184882297414,0.00032966576505649134
PlantDoc,ResNet-50,0.3389830508474576,567.0426230931953,0.001575118397481098,0.0006615497269420611
TrashNet,MobileNetV3,0.5789473684210527,44.89676485935945,0.00012471323572044293,5.237955900258603e-05
TrashNet,Custom CNN,0.4026315789473684,93.7264759062515,0.0002603513219618097,0.00010934755522396008
TrashNet,EfficientNet-B0,0.7921052631578948,191.2468851250111,0.0005312413475694753,0.0002231213659791796
TrashNet,ResNet-50,0.7631578947368421,456.6711471093896,0.0012685309641927488,0.0005327830049609545
