Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036
TrashNet,EfficientNet-B0,0.7921052631578948,0.8143170980540672,0.7329580030218407,0.7523085271812205
TrashNet,ResNet-50,0.7631578947368421,0.7455778385783467,0.7264671776740688,0.7340100592975528
TrashNet,MobileNetV3,0.5789473684210527,0.5353643291169504,0.5173488521409776,0.5040236803155383
TrashNet,Custom CNN,0.4026315789473684,0.2533231248489331,0.3323089289073589,0.2664951939332464
