Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Parameters_M,Model_Size_MB,Latency_ms_per_image,Inference_Power_Watts,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg,Epochs_configured,Epochs_trained,Num_classes,Train_images,Validation_images,Test_images
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036,0.096731,1.1585302352905273,4.203375601699748,5.0,21.01687800849874,5.838021669027427e-05,2.4519691009915192e-05,8,4,27,1968,348,236
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453,0.954699,4.3153533935546875,9.31329988558854,5.0,46.56649942794271,0.00012935138729984084,5.432758266593315e-05,8,8,27,1968,348,236
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474,4.084158,16.660840034484863,15.023634495757845,5.0,75.11817247878923,0.00020866159021885896,8.763786789192077e-05,8,8,27,1968,348,236
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034,23.643035,91.25373935699463,13.934481423729713,5.0,69.67240711864856,0.00019353446421846825,8.128447497175666e-05,8,8,27,1968,348,236
TrashNet,Custom CNN,0.4026315789473684,0.2533231248489331,0.3323089289073589,0.2664951939332464,0.094022,1.1275272369384766,3.16290251249427,5.0,15.81451256247135,4.392920156242042e-05,1.8450264656216577e-05,8,7,6,1768,379,380
TrashNet,MobileNetV3,0.5789473684210527,0.5353643291169504,0.5173488521409776,0.5040236803155383,0.942582,4.176684379577637,3.1371763281271114,5.0,15.685881640635557,4.357189344620988e-05,1.8300195247408147e-05,8,8,6,1768,379,380
TrashNet,EfficientNet-B0,0.7921052631578948,0.8143170980540672,0.7329580030218407,0.7523085271812205,4.057257,16.352981567382812,4.0845037062524625,5.0,20.422518531262313,5.672921814239531e-05,2.3826271619806032e-05,8,8,6,1768,379,380
TrashNet,ResNet-50,0.7631578947368421,0.7455778385783467,0.7264671776740688,0.7340100592975528,23.600006,90.76131057739258,4.816271600000732,5.0,24.08135800000366,6.689266111112127e-05,2.8094917666670933e-05,8,8,6,1768,379,380
