Dataset,Model,Accuracy_Score,F1_Score,Latency_Score,Size_Score,Energy_Score,Deployment_Suitability_Score
PlantDoc,Custom CNN,1.0,1.0,5.0,5.0,5.0,3.4
PlantDoc,MobileNetV3,2.5294117647058822,2.4855073027957237,3.4122777135513482,4.85984501555461,3.412277713551348,3.3398639020317824
PlantDoc,ResNet-50,5.0,5.0,1.9167504852127086,1.0,1.9167504852127077,2.9667001940850835
PlantDoc,EfficientNet-B0,4.117647058823529,3.823970405699325,1.0,4.311736552905795,1.0,2.8506708034857295
TrashNet,MobileNetV3,2.8108108108108114,2.9579288151050456,5.0,4.863928218624551,5.0,4.126533568908082
TrashNet,EfficientNet-B0,5.0,5.0,2.836410714688952,4.320548402041055,2.836410714688952,3.998673966283792
TrashNet,Custom CNN,1.0,1.0,4.862305777453491,5.0,4.862305777453491,3.3449223109813966
TrashNet,ResNet-50,4.7027027027027035,4.8495003844790485,1.0,1.0,1.0,2.5104406174363505
