Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Parameters_M,Model_Size_MB,Latency_ms_per_image,Inference_Power_Watts,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg,Epochs_configured,Epochs_trained,Num_classes,Train_images,Validation_images,Test_images
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036,0.096731,1.1585302352905273,4.487413940677676,5.0,22.43706970338838,6.232519362052328e-05,2.617658132061978e-05,8,4,27,1968,348,236
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453,0.954699,4.3153533935546875,9.212166843220023,5.0,46.06083421610012,0.00012794676171138923,5.3737639918783474e-05,8,8,27,1968,348,236
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474,4.084158,16.660840034484863,16.390636419491575,5.0,81.95318209745786,0.00022764772804849406,9.56120457803675e-05,8,8,27,1968,348,236
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034,23.643035,91.25373935699463,13.662565173729709,5.0,68.31282586864855,0.00018975784963513488,7.969829684675664e-05,8,8,27,1968,348,236
TrashNet,Custom CNN,0.4026315789473684,0.25215251900406793,0.3323089289073589,0.2659692678993182,0.094022,1.1275272369384766,3.042510590625014,5.0,15.21255295312507,4.2257091536458527e-05,1.774797844531258e-05,8,7,6,1768,379,380
TrashNet,MobileNetV3,0.5789473684210527,0.5353643291169504,0.5173488521409776,0.5040236803155383,0.942582,4.176684379577637,2.985071821874641,5.0,14.925359109373204,4.145933085937001e-05,1.7412918960935402e-05,8,8,6,1768,379,380
TrashNet,EfficientNet-B0,0.7921052631578948,0.8143170980540672,0.7329580030218407,0.7523085271812205,4.057257,16.352981567382812,3.8876071812488533,5.0,19.438035906244266,5.399454418401185e-05,2.2677708557284975e-05,8,8,6,1768,379,380
TrashNet,ResNet-50,0.7631578947368421,0.7455778385783467,0.7264671776740688,0.7340100592975528,23.600006,90.76131057739258,4.6536608937501,5.0,23.2683044687505,6.46341790798625e-05,2.714635521354225e-05,8,8,6,1768,379,380
