Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Parameters_M,Model_Size_MB,Latency_ms_per_image,Inference_Power_Watts,Energy_per_image_mJ,Energy_per_10k_inferences_kWh,CO2e_per_10k_inferences_kg,Epochs_configured,Epochs_trained,Num_classes,Train_images,Validation_images,Test_images
PlantDoc,Custom CNN,0.05084745762711865,0.0018832391713747647,0.037037037037037035,0.0035842293906810036,0.096731,1.1585302352905273,24.600603923728887,5.0,123.00301961864443,0.0003416750544962345,0.00014350352288841847,8,4,27,1968,348,236
PlantDoc,MobileNetV3,0.16101694915254236,0.10477028821255399,0.14802255357810915,0.10974608073963453,0.954699,4.3153533935546875,18.34876060593064,5.0,91.74380302965318,0.00025484389730459216,0.0001070344368679287,8,8,27,1968,348,236
PlantDoc,EfficientNet-B0,0.2754237288135593,0.21876300851637745,0.2767128961573406,0.20539941122080474,4.084158,16.660840034484863,67.12556170339019,5.0,335.62780851695095,0.0009322994681026415,0.0003915657766031094,8,8,27,1968,348,236
PlantDoc,ResNet-50,0.3389830508474576,0.30845774866242703,0.33089225589225585,0.28944442314175034,23.643035,91.25373935699463,120.20226514406681,5.0,601.0113257203341,0.0016694759047787059,0.0007011798800070564,8,8,27,1968,348,236
TrashNet,Custom CNN,0.4026315789473684,0.2533231248489331,0.3323089289073589,0.2664951939332464,0.094022,1.1275272369384766,20.79976212812653,5.0,103.99881064063266,0.0002888855851128685,0.00012133194574740476,8,7,6,1768,379,380
TrashNet,MobileNetV3,0.5789473684210527,0.5353643291169504,0.5173488521409776,0.5040236803155383,0.942582,4.176684379577637,8.690827365617793,5.0,43.45413682808896,0.00012070593563358045,5.069649296610379e-05,8,8,6,1768,379,380
TrashNet,EfficientNet-B0,0.7921052631578948,0.8143170980540672,0.7329580030218407,0.7523085271812205,4.057257,16.352981567382812,51.37104969374491,5.0,256.85524846872454,0.0007134868013020126,0.0002996644565468453,8,8,6,1768,379,380
TrashNet,ResNet-50,0.7631578947368421,0.7455778385783467,0.7264671776740688,0.7340100592975528,23.600006,90.76131057739258,98.03656496249857,5.0,490.18282481249287,0.0013616189578124804,0.0005718799622812417,8,8,6,1768,379,380
