Dataset,Model,Accuracy,Parameters_M,Model_Size_MB,Latency_ms_per_image
PlantDoc,ResNet-50,0.3389830508474576,23.643035,91.25373935699463,120.20226514406681
PlantDoc,EfficientNet-B0,0.2754237288135593,4.084158,16.660840034484863,67.12556170339019
PlantDoc,MobileNetV3,0.16101694915254236,0.954699,4.3153533935546875,18.34876060593064
PlantDoc,Custom CNN,0.05084745762711865,0.096731,1.1585302352905273,24.600603923728887
TrashNet,EfficientNet-B0,0.7921052631578948,4.057257,16.352981567382812,51.37104969374491
TrashNet,ResNet-50,0.7631578947368421,23.600006,90.76131057739258,98.03656496249857
TrashNet,MobileNetV3,0.5789473684210527,0.942582,4.176684379577637,8.690827365617793
TrashNet,Custom CNN,0.4026315789473684,0.094022,1.1275272369384766,20.79976212812653
